UID	Country	City	Place name	Official place	Place number	Free bikes	Total bikes	Place type	Comment	Setpoint bikes	Bike racks	Show in customer map	Battery voltage	Solar voltage	Location marking	Online	Time stamp	Creation date
"264303"	"OVO Bikes Glasgow"	"Glasgow"	"Kelvinbridge Subway - ELECTRIC"	"1"	"8418"	"3"	"3"	"E-bike station"	"54373,54466,54480,54344   17.08.23 8:04:20:  17.08.23 8:04:20: Terminal Offline 06.09.23 13:55:35:  06.09.23 13:55:35: Terminal Offline 28.10.23 19:28:00:  28.10.23 19:28:00: Rack Problem"	"8"	"8"	"1"	"12,37"	"0,00"	"smart_sign"	"1"	2023-11-26 09:50	
"264292"	"OVO Bikes Glasgow"	"Glasgow"	"George Square - ELECTRIC"	"1"	"8406"	"2"	"7"	"E-bike station"	"54453,54438,54418,54434"	"8"	"10"	"1"	"13,79"	"0,00"	"smart_sign"	"1"	2023-11-26 09:49	
"6270126"	"OVO Bikes Glasgow"	"Glasgow"	"Firhill Road - ELECTRIC"	"1"	"8464"	"3"	"4"	"E-bike station"	"54548,54574,54557,54579 29.07.23 12:22:09:  29.07.23 12:22:09: Terminal Offline 01.08.23 16:03:56:  01.08.23 16:03:56: Rack Problem 04.08.23 12:47:38:  04.08.23 12:47:38: Terminal Offline 01.11.23 13:19:01:  01.11.23 13:19:01: Terminal Offline 05.11.23 20:28:25:  05.11.23 20:28:25: Rack Problem 09.11.23 18:29:47:  09.11.23 18:29:47: Terminal Offline 10.11.23 13:40:27:  10.11.23 13:40:27: Rack Problem"	"7"	"7"	"1"	"13,85"	"0,00"	"smart_sign"	"1"	2023-11-26 09:46	
"21603723"	"OVO Bikes Glasgow"	"Glasgow"	"Ibrox"	"1"	"8452"	"14"	"15"	"Standard place"	""	"16"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 09:45	
"320314856"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47902"	"0"	""	"1"	"1"	"E-Single Bike Station"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 09:45	
"349461"	"OVO Bikes Glasgow"	"Glasgow"	"Queens Park West"	"1"	"8448"	"6"	"6"	"E-bike station"	"53661,54408,53633,54509    "	"12"	"8"	"1"	"13,67"	"0,00"	"smart_sign"	"0"	2023-11-26 09:36	
"349452"	"OVO Bikes Glasgow"	"Glasgow"	"Bridgeton"	"1"	"8441"	"11"	"12"	"Standard place"	" 17.05.23 13:02:25:  17.05.23 13:02:25: Rack Problem"	"8"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 09:35	
"3812438"	"OVO Bikes Glasgow"	"Glasgow"	"Kelvinhaugh Street / Argyle Street - ELECTRIC"	"1"	"8451"	"6"	"9"	"E-bike station"	"54407,54513,54428,54536 11.03.23 12:55:35:  11.03.23 12:55:35: Rack Problem 11.03.23 12:55:48:  11.03.23 12:55:48: Graffiti 14.05.23 21:11:05:  14.05.23 21:11:05: Rack Problem 27.05.23 6:11:23:  27.05.23 6:11:23: Rack Problem 27.06.23 1:51:04:  27.06.23 1:51:04: Rack Problem 14.08.23 1:53:42:  14.08.23 1:53:42: Terminal Offline 02.11.23 12:00:40:  02.11.23 12:00:40: Rack Problem"	"8"	"8"	"1"	"13,87"	"0,00"	"smart_sign"	"1"	2023-11-26 09:31	
"320309099"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 828215"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 09:25	
"266218"	"OVO Bikes Glasgow"	"Glasgow"	"Partick Interchange "	"1"	"8423"	"3"	"3"	"Standard place"	""	"10"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 09:21	
"6269590"	"OVO Bikes Glasgow"	"Glasgow"	"Springfield Quay 1"	"1"	"8461"	"5"	"5"	"Standard place"	""	"6"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 09:17	
